               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029167,            0.014527,            0.018518,             0.87662,             0.83962,             0.89334,              0.6765,            0.017543,           0.0047724,           0.0051336,           0.0082675,           0.0082675,           0.0082675
                  37,            0.028793,            0.014583,             0.01783,             0.85902,             0.84453,             0.89113,             0.67705,            0.017829,           0.0047325,           0.0051997,            0.008218,            0.008218,            0.008218
                  38,            0.028453,            0.014259,            0.016602,             0.86967,             0.84053,             0.88829,             0.66964,            0.017738,           0.0047817,           0.0064458,           0.0081685,           0.0081685,           0.0081685
                  39,            0.028987,            0.014688,            0.017267,             0.86255,             0.83348,             0.88332,             0.67537,            0.017373,           0.0047768,           0.0060395,            0.008119,            0.008119,            0.008119
                  40,            0.028978,            0.014693,            0.017592,             0.87038,              0.8368,             0.89022,             0.67031,             0.01781,           0.0048507,           0.0060767,           0.0080695,           0.0080695,           0.0080695
                  41,            0.028859,            0.014583,            0.016633,              0.8716,             0.81994,             0.87494,             0.66414,            0.017603,           0.0048354,           0.0052115,             0.00802,             0.00802,             0.00802
                  42,            0.028437,             0.01431,            0.016169,             0.86906,             0.84272,             0.89091,             0.67702,            0.017146,           0.0047871,           0.0046757,           0.0079705,           0.0079705,           0.0079705
                  43,            0.028343,            0.014404,            0.016178,             0.88868,             0.85036,             0.90221,             0.68978,            0.017027,           0.0047187,           0.0043176,            0.007921,            0.007921,            0.007921
                  44,            0.028252,            0.014153,            0.015895,             0.88103,             0.85321,             0.89769,             0.68293,            0.017306,           0.0047931,           0.0049991,           0.0078715,           0.0078715,           0.0078715
                  45,            0.027637,            0.013941,            0.015557,               0.883,              0.8428,             0.89558,             0.68673,            0.016708,           0.0047084,           0.0044979,            0.007822,            0.007822,            0.007822
                  46,            0.027151,            0.014135,            0.017848,             0.87537,               0.833,             0.88789,             0.67278,            0.017044,           0.0048134,           0.0046757,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027962,            0.014433,            0.017605,             0.88556,             0.83494,             0.89338,             0.68535,            0.016968,           0.0047466,            0.005206,            0.007723,            0.007723,            0.007723
                  48,            0.027486,            0.014121,            0.016872,             0.88707,             0.83987,             0.89873,             0.68886,            0.016844,           0.0047433,           0.0049887,           0.0076735,           0.0076735,           0.0076735
                  49,              0.0276,            0.014105,            0.015362,             0.88114,             0.86172,             0.90182,              0.6938,            0.016613,            0.004659,           0.0047972,            0.007624,            0.007624,            0.007624
                  50,            0.028028,            0.014021,            0.015735,             0.87548,               0.856,             0.90091,             0.68953,            0.016695,           0.0046868,           0.0040281,           0.0075745,           0.0075745,           0.0075745
                  51,            0.027584,            0.013988,            0.015149,             0.88125,             0.86409,             0.90159,             0.69591,            0.016699,           0.0047078,           0.0036301,            0.007525,            0.007525,            0.007525
                  52,            0.027351,            0.014052,            0.014908,             0.87019,             0.85447,             0.89795,             0.68789,            0.017058,           0.0047729,           0.0039747,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02746,            0.014087,            0.016445,             0.87623,             0.85307,             0.89089,             0.68889,            0.017149,           0.0047298,            0.004304,            0.007426,            0.007426,            0.007426
                  54,            0.027497,            0.013944,             0.01557,             0.88408,             0.86505,             0.90643,              0.6996,             0.01653,           0.0046553,           0.0039452,           0.0073765,           0.0073765,           0.0073765
                  55,            0.026956,            0.013842,            0.014142,             0.87446,             0.85937,              0.9075,             0.69805,            0.016222,           0.0047571,           0.0040081,            0.007327,            0.007327,            0.007327
                  56,            0.027039,            0.013621,            0.014994,             0.88622,             0.86127,             0.90573,             0.69387,            0.016527,           0.0047329,           0.0034142,           0.0072775,           0.0072775,           0.0072775
